Constructors,constructor_mean_GMS,puzzle_count_GMS
Jennifer Hoelzer,-17.0,1
Jennifer Lee and Victor Galson,-17.0,3
Jennifer Nebergall,-22.0,1
Jennifer Nutt,-5.0,5
Jeremy Newton,-4.88,8
Jess Shulman,-31.0,1
Jesse Goldberg,-3.33,3
Jill Rafaloff and Michelle Sontarp,-28.0,1
Jill Singer,19.0,1
Jim Hilger,-4.0,4
Jim Peredo,-15.5,2
Jim Quinlan,-32.0,1
Jimmy Peniston,-20.0,1
Joe Deeney,-11.18,17
Joe DiPietro,14.36,11
Joe DiPietro and Rachel Maddow,19.0,1
Joe Hansen,-4.5,2
Joe Kidd,3.0,1
Joe Krozel,-42.5,2
Joe Marquez,-1.0,1
Joe Rodini,1.0,1
Joel Fagliano,-11.3,10
Joel Fagliano and Christina Iverson,-4.0,1
Johan Vass,-4.5,2
Johanna Fenimore,-24.67,3
John Ciolfi,32.0,1
John Donegan,-14.0,1
John Ewbank,-19.5,4
John Guzzetta,-10.12,16
John Guzzetta and Michael Hawkins,-13.0,4
John Hawksley,-18.75,4
John Kugelman,-14.0,1
John Lampkin,10.25,4
John Lieb,-5.33,3
John Lieb and Andrea Yanes,12.0,1
John Martz,-4.0,1
John Nagamichi Cho,44.0,1
John R. O'Brien,20.0,1
John Westwig,-4.33,6
John Wrenholt,-10.0,3
John-Clark Levin,-25.67,3
Jon Olsen,12.67,3
Jon Schneider and Anderson Wang,1.0,1
Jonathan Kaufman,-6.5,1
Jonathan M. Kaye,7.5,2
Joon Pahk,-12.33,3
Joon Pahk and  Amanda Yesnowitz,-5.0,1
Joseph Gangi,-13.5,2
Joseph Greenbaum,-15.8,5
Josh Goodman,-11.0,1
Josh Kindler,21.0,1
Josh Knapp,-8.5,2
Joshua Rosenblatt,-8.0,1
Jules Markey,20.0,7
Julian Kwan,-2.0,1
Julian Lim,10.5,4
Juliana Tringali Golden,-2.0,2
Juliana Tringali Golden and Wendy L. Brandes,24.0,1
Julie Berube,0.0,2
Juliet Corless,-10.0,1
Julietta Gervase,-16.0,1
Kameron Austin Collins,5.2,15
Kameron Austin Collins and Paolo Pasco,13.0,1
Kanyin Ajayi,-31.0,1
Kareem Ayas,1.0,1
Karen Lurie,-23.5,2
Karen Steinberg,-14.5,2
Karen Steinberg and Paul Steinberg,-12.0,1
